,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Faculty of Management Sciences ,,,,,,,,,,,,
,MBA Infrastructure Management (2025-27)                                 ,,,,,,,,,,,,
,Trimester - IV,,,,,,,,,,,,
, Coursewise Faculty & Academic Associate List,,,,,,,,,,,,
Programme,Short Name,Area,Course Code IM,Course Name,Faculty Name,Academic Associate,Credit,Session No,,,,,
,ME,Core Course,MIMCT26701,Managerial Economics,Prof. Sandip Solanki,,2,30,,,,,
,SM,Core Course,MIMCT26702,Statistics For Managers,Prof. Shamindra Nath Sanyal,,2,30,,,,,
,MC-I,Core Course,MIMCT26703,Managerial Communication -1 ,Dr. Baishali Mitra,,2,30,,,,,
,MM,Core Course,MIMCT26704,Marketing Management,Dr. Karan Radia,,2,30,,,,,
,FRA,Core Course,MIMCT26705,Financial Reporting & Accounting,Dr. Riya Mehta,,3,45,,,,,
,OB,Core Course,MIMCT26706,Organisational Behaviour ,Dr. Manju Raisinghani,,2,30,,,,,
,IBE,Core Course,MIMCT26707,Infrastructure Business Environment ,"Prof. Rachna Gangwar, Dr. Namita Pragya, Dr. Vidya G Mohan",,2,30,,,,,
,MOOC,Core Course,SHSBT26701,Indian Knowledge System- MOOC,Online,,2,30,,,,,330
,HAW,Core Course,MIMCP26701,Health and Wellness,Dr. Riddhi Pitroda,,1,15,,30,,,
,DT,Core Course,MIMCT26708,Design Thinking,Prof. Anindita Chatterjee,,2,30,,,,,
,ILR,Core Course,MIMCT26709,Infrastructure Law and Regulations,Dr. Krishna Mehta,,2,30,,,,,
,OM,Core Course,MIMCT26710,Operations Management,Dr. Karan Radia,,2,30,,,,,
Total,,,,,,,24,330,,,,,
,,,,,,,,,,,,,
,,SEC A,CR 1,,,,,,,,,,
,,SEC B,CR 3,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,___________________________________________,,,,,,
,,,,,,,"Dean, FMS",,,,,,
,,,,,,,Adani University,,,,,,
