Tentative Time Table for Semester I (2026-28),,,,,,,,,,,,,,,,,,,,
,,,CR-1,CR-3,CR-1,CR-3,CR-1,CR-3,CR-1,CR-3,CR-1,CR-3,CR-1,CR-3,,,,,,
Session,Week1,,29-Jun,,30-Jun,,1-Jul,,2-Jul,,3-Jul,,4-Jul,,5-Jul,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,Inauguration/Orientation Week,,,,,,,,,,,,,,,,,
2,10:10,11:00,,,,,,,,,,,,,,,,,,
3,11:10,12:00,,,,,,,,,,,,,,,,,,
4,12:10,1:00,,,,,,,,,,,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,Inauguration/Orientation Week,,,,,,,,,,,,,,,,,
6,3:10,4:00,,,,,,,,,,,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week2,,6-Jul,,7-Jul,,8-Jul,,9-Jul,,10-Jul,,11-Jul,,12-Jul,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,Bridge/Foundation Course,,,,,,,,,,,,,,,,,
2,10:10,11:00,,,,,,,,,,,,,,,,,,
3,11:10,12:00,,,,,,,,,,,,,,,,,,
4,12:10,1:00,,,,,,,,,,,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,Bridge/Foundation Course,,,,,,,,,,,,,,,,,
6,3:10,4:00,,,,,,,,,,,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week3,,13-Jul,,14-Jul,,15-Jul,,16-Jul,,17-Jul,,18-Jul,,19-Jul,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,DT-1,MM-1,DT-2,FRA-2,,OB-2,MM-2,,,,,,,,,,
2,10:10,11:00,ME-1,HAW-1,OB-1,FRA-1,ME-2,FRA-2,FRA-3,OB-2,ME-3,MC-I-2,,,,,,SM-1,,
3,11:10,12:00,ILR-1,ME-1,FRA-1,OB-1,,ME-2,IBE-1-T,FRA-3,ILR-2,ME-3,,,,,,SM-1,,
4,12:10,1:00,MC-I-1,ILR-1,DT-2,MM-1,,,MM-2,IBE-1-T,MC-I-2,ILR-2,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,DT-1,MC-I-1,,,,,,,,,,,,,,,,
6,3:10,4:00,,,,,,,,,,,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week4,,20-Jul,,21-Jul,,22-Jul,,23-Jul,,24-Jul,,25-Jul,,26-Jul,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,,,MM-4,OB-3,MM-5,,OB-4,MC-I-4,,,,,,,,,,SM-3
2,10:10,11:00,ME-4,,MC-I-3,MM-4,ME-5,MM-5,FRA-6,OM-1,ME-6,,,,,,,,,SM-4
3,11:10,12:00,ILR-3,ME-4,IBE-2-T,MC-I-3,SM-3,ME-5,MC-I-4,FRA-6,ILR-4,ME-6,,,,,,,,
4,12:10,1:00,DT-3,ILR-3,IBE-3-T,DT-4,SM-4,FRA-5,OM-1,OB-4,OM-2,ILR-4,,,,,,HAW-1,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,,FRA-4,OB-3,,FRA-5,IBE-11-U,IBE-11-U,IBE-2-T,IBE-13-U,OM-2,,,,,,HAW-1,,
6,3:10,4:00,FRA-4,DT-3,DT-4,,,IBE-12-U,IBE-12-U,IBE-3-T,IBE-14-U,,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week5,,27-Jul,,28-Jul,,29-Jul,,30-Jul,,31-Jul,,1-Aug,,2-Aug,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,,MM-6,DT-6,MM-7,,OB-6,OM-3,,SM-5,,,,,,,,
2,10:10,11:00,ME-7,HAW-1,MC-I-5,OB-5,ME-8,MM-7,MC-I-6,IBE-4-T,ME-9,SM-6,,,,,,,,
3,11:10,12:00,FRA-7,ME-7,IBE-4-T,MM-6,FRA-8,ME-8,OM-3,IBE-5-T,ILR-8,ME-9,,,,,,,,
4,12:10,1:00,,DT-5,IBE-5-T,MC-I-5,FRA-9,,,OB-6,OM-4,ILR-8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
